"wait_time","standby_time","calling_time","attendant_machine_id","service_room_id","pause_time","relocate","disconnected_by_attendant","ticket_priority","number_of_breaks","ticket_category","attendant_id","call_surplus","attendant_level","duration_categories","short_call","call_period","customer_time_talks","pause_time_category","region","out_average","resolved_tickets"
17,0,1,1305,7,0,1,1,5,1,1,4100020,2,1,"de 5 a 10 min",0,"tarde","de 1 a 5 min","média","Sudeste",0,"True"
17,0,1,1305,7,0,1,1,5,1,1,4100046,2,1,"de 10 a 30 min",0,"tarde","de 1 a 5 min","longa","Sudeste",1,"True"
17,0,1,1305,7,0,1,1,5,1,1,4180038,2,1,"de 5 a 10 min",0,"manhã","de 1 a 5 min","média","Sudeste",0,"True"
5,0,1,1,7,0,1,1,4,1,1,4180015,2,1,"de 5 a 10 min",0,"tarde","de 1 a 5 min","média","Sudeste",0,"True"
5,0,0,1,7,0,0,0,4,0,1,4100017,2,1,"de 1 a 5 min",0,"tarde","até 1 min","rapida","Sudeste",0,"True"
3,0,1,2326,7,0,1,1,5,1,1,4100022,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","média","Sudeste",0,"True"
3,0,1,2326,7,0,1,1,5,1,1,4100035,2,1,"de 10 a 30 min",0,"tarde","de 1 a 5 min","longa","Sudeste",1,"True"
2,0,0,810,8,0,0,0,4,0,2,4548713,2,2,"de 5 a 10 min",0,"tarde","de 5 a 10 min","rapida","Sudeste",0,"True"
2,0,0,810,4,0,0,0,4,0,2,4170748,2,2,"de 1 a 5 min",0,"tarde","de 1 a 5 min","rapida","Sudeste",0,"True"
3,0,1,2326,7,0,0,0,5,0,1,4100003,2,1,"de 1 a 5 min",0,"manhã","de 1 a 5 min","rapida","Sudeste",0,"True"
3,0,1,2326,7,0,1,1,5,1,1,4100034,2,1,"de 5 a 10 min",0,"manhã","de 1 a 5 min","média","Sudeste",1,"True"
2,0,0,128,6,0,1,1,4,1,1,4676810,2,1,"de 5 a 10 min",0,"manhã","de 5 a 10 min","rapida","Sudeste",0,"True"
